Step,Value
415,0
851,-291.0250549316406
1343,-444.89190673828125
1792,-493.2047882080078
2377,-605.4749755859375
3007,-734.9139404296875
4079,-823.7349243164062
6348,-820.5778732299805
8162,-805.7263793945312
8869,-754.4350662231445
9384,-871.6239166259766
9967,-1053.0838317871094
10573,-1248.2870178222656
11617,-1466.4423904418945
12050,-1614.6468353271484
12473,-1904.3314361572266
12858,-2146.907958984375
13255,-2387.0873107910156
13660,-2614.1341552734375
14033,-2886.464889526367
14362,-3120.2203369140625
14803,-3400.802536010742
15218,-3620.3340454101562
15639,-3809.137405395508
16171,-3997.0206298828125
16909,-4184.568405151367
17649,-4250.892532348633
18564,-4356.384063720703
19352,-4375.724700927734
20425,-4351.046875
21455,-4524.889678955078
22010,-4532.564804077148
22560,-4566.511405944824
22893,-4646.598571777344
23606,-4757.293418884277
24030,-4767.612762451172
24980,-4945.232803344727
25557,-5174.521835327148
27023,-5418.538185119629
27571,-5521.667022705078
28053,-5570.204772949219
28835,-5633.123550415039
29629,-5706.533111572266
30595,-5783.220993041992
32360,-5790.252311706543
33033,-5891.838417053223
33961,-5969.699974060059
35111,-5978.819648742676
35975,-6026.184715270996
37619,-6102.337936401367
38598,-6058.468055725098
39719,-6141.413963317871
41194,-6293.984962463379
42066,-6257.591156005859
42574,-6365.36572265625
42888,-6445.030708312988
45969,-6657.3485107421875
47523,-6708.551467895508
49404,-6799.869483947754
53009,-6905.911544799805
54588,-6913.766212463379
55802,-6932.179100036621
57059,-6929.752548217773
57627,-6991.840644836426
58539,-7070.969123840332
59585,-7051.622333526611
60701,-7154.266414642334
62150,-7320.953048706055
63253,-7232.477508544922
64215,-7177.187259674072
65722,-7208.736763000488
66605,-7163.589210510254
68627,-7259.733383178711
71171,-7247.365821838379
72551,-7043.168930053711
74208,-7158.6541175842285
75608,-7160.927474975586
77651,-7257.12850189209
79006,-7109.85412979126
80048,-7050.689771652222
81660,-6786.436886787415
82888,-6744.805190086365
84322,-6499.207390785217
85542,-6413.114947319031
86640,-6320.21994972229
87673,-6271.669025421143
88763,-6001.452857971191
89480,-5931.34041595459
90529,-5823.407550811768
91375,-5680.379505157471
92169,-5483.775272369385
92938,-5547.623119354248
93972,-5434.332145690918
94933,-5327.909980773926
95829,-5244.744976043701
96902,-5127.9948806762695
98187,-4939.266700744629
99668,-4690.6528396606445
100549,-4509.193672180176
101160,-4355.798248291016
102024,-4339.900875091553
102693,-4464.249885559082
103561,-4372.178245544434
104553,-4295.943264007568
105316,-4240.6500606536865
106190,-4049.391026496887
107643,-3964.040801048279
108566,-3756.3223733901978
109122,-3757.165545463562
109756,-3685.946611404419
110680,-3560.330982208252
111313,-3374.9981231689453
112116,-3265.305145263672
112946,-3074.894519805908
113612,-2873.2998085021973
114636,-2734.520664215088
115446,-2465.508518218994
116251,-2207.406867980957
118966,-2128.3377990722656
119780,-2023.76566696167
121397,-1893.7175369262695
122490,-1755.7906341552734
123198,-1639.9520797729492
124357,-1490.1131286621094
125210,-1323.8083877563477
126749,-1141.3954734802246
127479,-1010.1521377563477
129005,-996.3313827514648
129680,-887.0878257751465
130818,-693.6568050384521
131968,-436.96999073028564
133126,-198.42457485198975
133921,-92.584885597229
135280,78.02236652374268
136858,249.21307182312012
138377,491.39135360717773
139482,593.3639221191406
141151,724.7415466308594
142402,777.4747886657715
144275,944.4381523132324
146024,1161.6783714294434
147394,1310.8739280700684
148470,1535.916648864746
