Step,Value
637,1.0
979,1.0
1250,1.0
1493,1.0
1742,1.0
1873,1.0
2049,1.0
2233,1.0
2384,1.0
2512,1.0
2645,1.0
2773,1.0
2906,1.0
3002,1.0
3137,1.0
3251,1.0
3379,1.0
3481,1.0
3580,1.0
3673,1.0
3782,1.0
3886,1.0
3990,1.0
4088,1.0
4182,1.0
4280,1.0
4362,1.0
4457,1.0
4546,1.0
4642,1.0
4731,1.0
4807,1.0
4879,1.0
4956,1.0
5051,1.0
5141,1.0
5230,1.0
5319,1.0
5398,1.0
5480,1.0
5567,1.0
5647,1.0
5741,1.0
5824,1.0
5910,1.0
5988,1.0
6074,1.0
6159,1.0
6250,1.0
6335,1.0
6422,1.0
6505,1.0
7464,1.0
7551,1.0
7648,1.0
7757,1.0
7861,1.0
7951,1.0
8046,1.0
8138,1.0
8232,1.0
8326,1.0
8416,1.0
8500,1.0
8599,1.0
8699,1.0
8797,1.0
8889,1.0
8971,1.0
9073,1.0
9167,1.0
9250,1.0
9351,1.0
9453,1.0
9547,1.0
9639,1.0
9724,1.0
9801,1.0
9895,1.0
9978,1.0
10060,1.0
10138,1.0
10214,1.0
10308,1.0
10381,1.0
10456,1.0
10543,1.0
10636,1.0
10720,1.0
10782,1.0
10879,1.0
10971,1.0
11069,1.0
11147,1.0
11222,1.0
11311,1.0
11402,1.0
11482,1.0
11564,1.0
11656,1.0
11742,1.0
11821,1.0
11901,1.0
11980,1.0
12061,1.0
12150,1.0
12223,1.0
14066,1.0
15038,1.0
15131,1.0
15220,1.0
15313,1.0
15397,1.0
15485,1.0
15579,1.0
15674,1.0
15770,1.0
15872,1.0
15943,1.0
16025,1.0
16121,1.0
16221,1.0
16318,1.0
16405,1.0
17376,1.0
19216,1.0
19296,1.0
19379,1.0
19481,1.0
19558,1.0
19661,1.0
19745,1.0
19836,1.0
19925,1.0
20027,1.0
20114,1.0
20198,1.0
20271,1.0
20351,1.0
20444,1.0
20520,1.0
20607,1.0
20681,1.0
20770,1.0
20859,1.0
20939,1.0
21028,1.0
21127,1.0
21205,1.0
21279,1.0
21362,1.0
21442,1.0
21523,1.0
21619,1.0
21710,1.0
21797,1.0
21878,1.0
21962,1.0
22061,1.0
22153,1.0
22248,1.0
22348,1.0
22435,1.0
22513,1.0
22600,1.0
22695,1.0
22781,1.0
22880,1.0
22954,1.0
23043,1.0
23131,1.0
23212,1.0
23297,1.0
23377,1.0
23461,1.0
23557,1.0
23633,1.0
23707,1.0
23794,1.0
23875,1.0
23947,1.0
24033,1.0
24123,1.0
25089,1.0
25175,1.0
25264,1.0
25355,1.0
25448,1.0
25528,1.0
25613,1.0
25715,1.0
25806,1.0
25903,1.0
25983,1.0
26059,1.0
26154,1.0
26235,1.0
26311,1.0
26395,1.0
26483,1.0
26572,1.0
26670,1.0
26755,1.0
26833,1.0
26924,1.0
27014,1.0
27104,1.0
27198,1.0
27277,1.0
27366,1.0
27460,1.0
27558,1.0
27647,1.0
27730,1.0
27816,1.0
27903,1.0
27981,1.0
28068,1.0
28156,1.0
28250,1.0
28336,1.0
28416,1.0
28510,1.0
28608,1.0
28692,1.0
28786,1.0
28880,1.0
28962,1.0
29052,1.0
29130,1.0
29212,1.0
29317,1.0
29400,1.0
29481,1.0
29564,1.0
29659,1.0
29743,1.0
29828,1.0
29907,1.0
29993,1.0
30086,1.0
30179,1.0
30264,1.0
30353,1.0
30444,1.0
30536,1.0
30607,1.0
30694,1.0
30771,1.0
30856,1.0
30932,1.0
31016,1.0
31106,1.0
31198,1.0
31271,1.0
31364,1.0
31453,1.0
31540,1.0
31626,1.0
31709,1.0
31797,1.0
31888,1.0
31978,1.0
32068,1.0
32153,1.0
32243,1.0
32333,1.0
32415,1.0
32509,1.0
32593,1.0
32678,1.0
32766,1.0
32856,1.0
32946,1.0
33025,1.0
33105,1.0
33187,1.0
33268,1.0
33350,1.0
33438,1.0
33529,1.0
33615,1.0
33698,1.0
33783,1.0
33859,1.0
33939,1.0
34034,1.0
34111,1.0
34191,1.0
34266,1.0
34354,1.0
34437,1.0
34537,1.0
34627,1.0
34716,1.0
34800,1.0
34876,1.0
34960,1.0
35046,1.0
35120,1.0
35212,1.0
35300,1.0
35389,1.0
35465,1.0
35553,1.0
35648,1.0
35740,1.0
35832,1.0
35909,1.0
35985,1.0
36071,1.0
36158,1.0
36232,1.0
36321,1.0
36417,1.0
36505,1.0
36590,1.0
36679,1.0
36764,1.0
36852,1.0
36934,1.0
37023,1.0
37102,1.0
37173,1.0
37254,1.0
37342,1.0
37424,1.0
37509,1.0
37592,1.0
37664,1.0
37733,1.0
37827,1.0
37916,1.0
37988,1.0
38064,1.0
38153,1.0
38220,1.0
38308,1.0
38378,1.0
38447,1.0
38529,1.0
38597,1.0
38688,1.0
38761,1.0
38846,1.0
38924,1.0
39084,1.0
39162,1.0
39240,1.0
39310,1.0
39393,1.0
39471,1.0
39552,1.0
39640,1.0
39721,1.0
39798,1.0
39885,1.0
39965,1.0
40042,1.0
40127,1.0
40200,1.0
40277,1.0
40357,1.0
40441,1.0
40520,1.0
40604,1.0
40684,1.0
40772,1.0
40848,1.0
40927,1.0
41005,1.0
41070,1.0
41142,1.0
41239,1.0
41322,1.0
41404,1.0
41482,1.0
41564,1.0
41639,1.0
41719,1.0
41807,1.0
41892,1.0
41971,1.0
42047,1.0
42132,1.0
42207,1.0
42281,1.0
42364,1.0
42437,1.0
42515,1.0
42595,1.0
42678,1.0
42770,1.0
42861,1.0
42943,1.0
43020,1.0
43094,1.0
43190,1.0
43264,1.0
43335,1.0
43424,1.0
43502,1.0
43588,1.0
43666,1.0
43738,1.0
43825,1.0
43925,1.0
44005,1.0
44077,1.0
44169,1.0
44253,1.0
44330,1.0
44405,1.0
44487,1.0
44567,1.0
44649,1.0
44734,1.0
44815,1.0
44898,1.0
44975,1.0
45062,1.0
45147,1.0
45230,1.0
45315,1.0
45400,1.0
45468,1.0
45545,1.0
45636,1.0
45712,1.0
45799,1.0
45872,1.0
45949,1.0
46031,1.0
46114,1.0
46200,1.0
46280,1.0
46371,1.0
46448,1.0
46522,1.0
46597,1.0
46672,1.0
46756,1.0
46838,1.0
46917,1.0
46998,1.0
47065,1.0
47144,1.0
47236,1.0
47320,1.0
47405,1.0
47484,1.0
47558,1.0
47645,1.0
47725,1.0
47806,1.0
47887,1.0
47969,1.0
48040,1.0
48128,1.0
48211,1.0
48293,1.0
48374,1.0
48464,1.0
48548,1.0
48638,1.0
48712,1.0
48788,1.0
48861,1.0
48943,1.0
49016,1.0
49089,1.0
49178,1.0
49257,1.0
49340,1.0
49420,1.0
49499,1.0
49586,1.0
49664,1.0
49752,1.0
49833,1.0
49920,1.0
49993,1.0
50078,1.0
50156,1.0
50237,1.0
50326,1.0
50397,1.0
50486,1.0
50566,1.0
50650,1.0
50726,1.0
50799,1.0
50877,1.0
50958,1.0
51047,1.0
51120,1.0
51193,1.0
51262,1.0
51348,1.0
51432,1.0
51521,1.0
51597,1.0
51686,1.0
51778,1.0
51852,1.0
51932,1.0
52009,1.0
52085,1.0
52170,1.0
52249,1.0
52328,1.0
52408,1.0
52477,1.0
52565,1.0
52647,1.0
52721,1.0
52801,1.0
52883,1.0
52965,1.0
53052,1.0
53134,1.0
53212,1.0
53287,1.0
53368,1.0
53446,1.0
53527,1.0
53614,1.0
53691,1.0
53764,1.0
53841,1.0
53914,1.0
53999,1.0
54067,1.0
54149,1.0
54240,1.0
54324,1.0
54395,1.0
54479,1.0
54557,1.0
54643,1.0
54719,1.0
54798,1.0
54878,1.0
54974,1.0
55054,1.0
55131,1.0
55213,1.0
55292,1.0
55360,1.0
55439,1.0
55515,1.0
55600,1.0
55684,1.0
55770,1.0
55855,1.0
55929,1.0
56013,1.0
56099,1.0
56177,1.0
56261,1.0
56346,1.0
56440,1.0
56511,1.0
56588,1.0
56664,1.0
56749,1.0
56829,1.0
56907,1.0
56981,1.0
57064,1.0
57135,1.0
57203,1.0
57284,1.0
57355,1.0
57435,1.0
57500,1.0
57576,1.0
57660,1.0
57737,1.0
57820,1.0
57901,1.0
57983,1.0
58063,1.0
58145,1.0
58220,1.0
