Step,Value
469,0
980,-150.5997772216797
1476,-261.72918701171875
1917,-311.1485366821289
2488,-312.87860107421875
3106,-384.34326171875
4339,-377.04432678222656
4957,-289.1633071899414
5673,-334.2342224121094
6145,-429.25431060791016
6877,-513.0567932128906
8788,-593.3967170715332
9776,-1026.4067687988281
10418,-1140.8509674072266
10888,-1267.488021850586
11320,-1591.9492721557617
11698,-2026.89306640625
12164,-2430.5237426757812
12652,-2838.306884765625
13029,-3166.3087158203125
13467,-3564.8956298828125
13893,-4022.0319213867188
14296,-4373.612823486328
14678,-4844.843521118164
15136,-5138.4920654296875
15547,-5488.275909423828
16005,-5684.126770019531
16440,-5912.625259399414
17454,-6068.418586730957
18053,-6139.6776123046875
18544,-6307.856292724609
19129,-6432.004577636719
20398,-6599.317649841309
21730,-6784.971221923828
22406,-7085.646217346191
23018,-7312.381591796875
23594,-7548.214679718018
24386,-7750.192169189453
25129,-7942.728561401367
26631,-8074.96940612793
29886,-8268.916893005371
31649,-8365.215133666992
33068,-8742.527450561523
34640,-8968.05160522461
36760,-9186.79020690918
39625,-9451.968383789062
41895,-9570.051330566406
44392,-9635.952987670898
47737,-9810.608901977539
50128,-9886.546569824219
51797,-9944.932556152344
53225,-9948.508178710938
55166,-10114.317077636719
56725,-10264.673316955566
60725,-10392.411224365234
63273,-10414.298553466797
64203,-10668.182022094727
65264,-10888.205436706543
66253,-11117.72573852539
67267,-11208.84186553955
67836,-11483.318557739258
68915,-11712.021213531494
69662,-11862.271789550781
70754,-11983.910888671875
72051,-12168.664474487305
73176,-12472.475242614746
74438,-12627.881072998047
75800,-12808.89517211914
77365,-13022.680358886719
80227,-13193.570831298828
82840,-13250.397872924805
85200,-13103.265899658203
88084,-13049.938430786133
91375,-12994.90951538086
93099,-12940.720611572266
95085,-12879.25910949707
96988,-12820.505630493164
98505,-12880.429977416992
100217,-12773.650825500488
101969,-12607.896606445312
103512,-12441.215629577637
105343,-12324.323112487793
106678,-12299.275974273682
107905,-12241.339000701904
109398,-12116.159885406494
110838,-11919.181003570557
112426,-11729.035389184952
113815,-11589.701489448547
115106,-11383.24765586853
116230,-11121.920795440674
117576,-10921.38957977295
118799,-10661.36743927002
120550,-10413.112129211426
121637,-10172.264747619629
122719,-9893.038299560547
123564,-9657.091903686523
124492,-9446.409362792969
125336,-9219.293441772461
126223,-8949.597396850586
126990,-8688.961654663086
127883,-8491.726684570312
129053,-8219.118606567383
130181,-7965.136856079102
131159,-7689.075553894043
132179,-7570.446960449219
133323,-7294.076271057129
134494,-7054.7434158325195
135501,-6780.786136627197
136514,-6511.692699432373
137500,-6306.062381744385
138793,-6048.028888702393
139945,-5935.107624292374
141203,-5667.582348823547
142241,-5484.489339828491
143311,-5264.4390296936035
144359,-4995.8112716674805
145299,-4748.812889099121
146330,-4496.467079162598
147456,-4239.377098083496
148730,-3962.8865509033203
149666,-3703.564453125
