Step,Value
1435,1.0
1813,1.0
2129,1.0
2632,1.0
2859,1.0
3076,1.0
3417,1.0
3712,1.0
3883,1.0
4071,1.0
4306,1.0
4527,1.0
4705,1.0
4911,1.0
5519,1.0
5649,1.0
6623,1.0
6720,1.0
6813,1.0
6955,1.0
7042,1.0
7190,1.0
7330,1.0
7417,1.0
7551,1.0
8559,1.0
9539,1.0
10516,1.0
10691,1.0
10802,1.0
10873,1.0
10939,1.0
11053,1.0
11167,1.0
11260,1.0
11367,1.0
11464,1.0
11580,1.0
11670,1.0
11839,1.0
11986,1.0
12103,1.0
12226,1.0
12385,1.0
12530,1.0
13495,1.0
13631,1.0
14643,1.0
15157,1.0
15328,1.0
15500,1.0
15604,1.0
15722,1.0
15830,1.0
15902,1.0
16014,1.0
16159,1.0
16278,1.0
16401,1.0
16491,1.0
16617,1.0
16726,1.0
16887,1.0
17046,1.0
17107,1.0
17202,1.0
17370,1.0
17504,1.0
17602,1.0
17726,1.0
17793,1.0
17888,1.0
18014,1.0
18119,1.0
18231,1.0
18333,1.0
18447,1.0
18534,1.0
18613,1.0
18716,1.0
18839,1.0
18970,1.0
19096,1.0
19190,1.0
19740,1.0
19806,1.0
20158,1.0
20288,1.0
20419,1.0
20508,1.0
20618,1.0
20764,1.0
20825,1.0
20938,1.0
21028,1.0
21154,1.0
21741,1.0
21850,1.0
21994,1.0
22075,1.0
22204,1.0
22300,1.0
22354,1.0
22504,1.0
22656,1.0
22782,1.0
22902,1.0
23645,1.0
23712,1.0
23794,1.0
23889,1.0
23977,1.0
24133,1.0
24218,1.0
24313,1.0
24370,1.0
24480,1.0
24582,1.0
24712,1.0
24775,1.0
24848,1.0
25838,1.0
25916,1.0
26041,1.0
26176,1.0
26293,1.0
26371,1.0
26445,1.0
26564,1.0
26702,1.0
26831,1.0
26942,1.0
27062,1.0
27133,1.0
27226,1.0
27328,1.0
27475,1.0
27613,1.0
27726,1.0
28706,1.0
28803,1.0
28930,1.0
28982,1.0
29104,1.0
29210,1.0
29335,1.0
29470,1.0
29591,1.0
29696,1.0
29798,1.0
29917,1.0
30037,1.0
30169,1.0
30319,1.0
30427,1.0
30550,1.0
30677,1.0
30801,1.0
30899,1.0
31020,1.0
31135,1.0
32125,1.0
32224,1.0
32299,1.0
32419,1.0
32536,1.0
32647,1.0
32716,1.0
32815,1.0
32881,1.0
33000,1.0
33092,1.0
33211,1.0
33279,1.0
33433,1.0
33539,1.0
33678,1.0
33764,1.0
33876,1.0
34019,1.0
34141,1.0
34256,1.0
34395,1.0
34469,1.0
34585,1.0
34682,1.0
34826,1.0
34940,1.0
35045,1.0
35163,1.0
36150,1.0
36221,1.0
36341,1.0
36411,1.0
36518,1.0
36636,1.0
36749,1.0
36867,1.0
36979,1.0
37118,1.0
37222,1.0
37340,1.0
37489,1.0
37584,1.0
37689,1.0
37803,1.0
37849,1.0
37954,1.0
38070,1.0
38199,1.0
38354,1.0
38522,1.0
38645,1.0
38705,1.0
38762,1.0
38852,1.0
38987,1.0
39081,1.0
39173,1.0
39309,1.0
39381,1.0
39558,1.0
39697,1.0
39795,1.0
39874,1.0
39970,1.0
40040,1.0
40131,1.0
40232,1.0
40303,1.0
40384,1.0
40492,1.0
40617,1.0
40715,1.0
40823,1.0
40941,1.0
41047,1.0
41164,1.0
41258,1.0
41410,1.0
41518,1.0
41631,1.0
41722,1.0
41805,1.0
41922,1.0
42014,1.0
42095,1.0
42188,1.0
42268,1.0
42390,1.0
42493,1.0
42611,1.0
42750,1.0
42842,1.0
42941,1.0
43046,1.0
43144,1.0
43257,1.0
43359,1.0
43483,1.0
43587,1.0
43694,1.0
43828,1.0
43937,1.0
44092,1.0
44165,1.0
44281,1.0
44384,1.0
44444,1.0
44557,1.0
44669,1.0
44786,1.0
44895,1.0
45002,1.0
45088,1.0
45176,1.0
45276,1.0
45393,1.0
45493,1.0
45594,1.0
45692,1.0
45809,1.0
45920,1.0
45995,1.0
46073,1.0
46189,1.0
46297,1.0
46356,1.0
46493,1.0
46615,1.0
46732,1.0
46818,1.0
46900,1.0
47017,1.0
47126,1.0
47226,1.0
47413,1.0
47690,1.0
47780,1.0
47892,1.0
47985,1.0
48083,1.0
48180,1.0
48261,1.0
48368,1.0
48501,1.0
48572,1.0
48653,1.0
48779,1.0
48852,1.0
48948,1.0
49029,1.0
49146,1.0
49225,1.0
