Step,Value
1070,1.0
1313,1.0
1645,1.0
1882,1.0
2155,1.0
2384,1.0
2583,1.0
2713,1.0
2884,1.0
3063,1.0
3156,1.0
3313,1.0
3510,1.0
3643,1.0
4544,1.0
4698,1.0
4855,1.0
4923,1.0
5042,1.0
5159,1.0
5293,1.0
5418,1.0
5558,1.0
5672,1.0
5755,1.0
5901,1.0
6029,1.0
6192,1.0
6378,1.0
6512,1.0
6651,1.0
6798,1.0
6926,1.0
7046,1.0
7207,1.0
7297,1.0
7409,1.0
7529,1.0
7646,1.0
7739,1.0
7832,1.0
7950,1.0
8109,1.0
8173,1.0
8280,1.0
8413,1.0
8519,1.0
8655,1.0
8768,1.0
8924,1.0
9073,1.0
9214,1.0
9337,1.0
9470,1.0
9589,1.0
9760,1.0
9880,1.0
10043,1.0
10170,1.0
10284,1.0
10396,1.0
10546,1.0
10645,1.0
10795,1.0
10925,1.0
11074,1.0
11205,1.0
11286,1.0
11361,1.0
11431,1.0
11524,1.0
11622,1.0
11718,1.0
11816,1.0
11941,1.0
12041,1.0
12132,1.0
12244,1.0
12321,1.0
12428,1.0
12523,1.0
12648,1.0
12738,1.0
12831,1.0
12927,1.0
13006,1.0
13080,1.0
13177,1.0
13300,1.0
13391,1.0
13491,1.0
13545,1.0
13639,1.0
13766,1.0
13825,1.0
13901,1.0
14000,1.0
14115,1.0
14228,1.0
14319,1.0
14432,1.0
14610,1.0
14755,1.0
14842,1.0
14963,1.0
15094,1.0
15209,1.0
15310,1.0
15387,1.0
15524,1.0
15610,1.0
15739,1.0
15832,1.0
15969,1.0
16048,1.0
16161,1.0
16268,1.0
16408,1.0
16496,1.0
16630,1.0
16671,1.0
16795,1.0
16920,1.0
17042,1.0
17143,1.0
17251,1.0
17400,1.0
17551,1.0
17648,1.0
17757,1.0
17850,1.0
17946,1.0
18022,1.0
18130,1.0
18233,1.0
18313,1.0
18410,1.0
18514,1.0
18653,1.0
18745,1.0
18843,1.0
18955,1.0
19030,1.0
19158,1.0
19234,1.0
19317,1.0
19412,1.0
